iter	RMSE
0	1.044451039
1	1.044097471
2	1.043814099
3	1.043539071
4	1.043215271
5	1.043085619
6	1.042900509
7	1.042527923
8	1.042455923
9	1.042387171
10	1.042091174
11	1.041991522
12	1.04164964
13	1.041562829
14	1.041287377
15	1.040997266
16	1.04062956
17	1.040345533
18	1.040149478
19	1.039791252
20	1.039490994
21	1.039346646
22	1.039236758
23	1.0390583
24	1.038945218
25	1.038687943
26	1.038618521
27	1.038540935
28	1.038414461
29	1.038316007
30	1.038058544
31	1.037956798
32	1.03786824
33	1.037827502
34	1.037757586
35	1.037473892
36	1.037391185
37	1.037093431
38	1.037047779
39	1.03694806
40	1.036694489
41	1.03640437
42	1.036210142
43	1.035861427
44	1.035734249
45	1.035685569
46	1.03533209
47	1.035181825
48	1.03509965
49	1.03486085
50	1.034764996
51	1.034735309
52	1.034652458
53	1.034454685
54	1.034393925
55	1.034338455
56	1.034247456
57	1.033931798
58	1.033876254
59	1.033685618
60	1.033661853
61	1.033640583
62	1.03335655
63	1.033294611
64	1.033173445
65	1.032997263
66	1.032905259
67	1.032778233
68	1.032711131
69	1.03243525
70	1.032199609
71	1.032126778
72	1.032062045
73	1.031902191
74	1.031655045
75	1.031510587
76	1.031468863
77	1.031385177
78	1.031324216
79	1.03092286
80	1.030801426
81	1.030469342
82	1.030387677
83	1.030083029
84	1.03006922
85	1.029739762
86	1.029626806
87	1.029344329
88	1.029107059
89	1.029072252
90	1.029032097
91	1.028879281
92	1.028651178
93	1.028575121
94	1.028553095
95	1.028551734
96	1.028482854
97	1.028284651
98	1.028104451
99	1.028056612
100	1.027881215
101	1.027708415
102	1.027641927
103	1.027324182
104	1.027162202
105	1.027108075
106	1.026846248
107	1.026777326
108	1.026670583
109	1.026499099
110	1.026428607
111	1.026342338
112	1.026090642
113	1.026078267
114	1.025921966
115	1.025793399
116	1.025705513
117	1.025622445
118	1.025332729
119	1.025042261
120	1.025040589
121	1.02498299
122	1.024928882
123	1.024855047
124	1.024595057
125	1.024515691
126	1.024442105
127	1.024422818
128	1.024314595
129	1.024295413
130	1.024237938
131	1.024176003
132	1.023978148
133	1.023696717
134	1.023521154
135	1.023459222
136	1.023457675
137	1.023325001
138	1.02311016
139	1.023043782
140	1.022810016
141	1.022808387
142	1.022628738
143	1.022420011
144	1.022122239
145	1.022105144
146	1.02205093
147	1.021755008
148	1.0216405
149	1.021600229
150	1.021575115
151	1.021420054
152	1.021350014
153	1.021339929
154	1.021106768
155	1.021106764
156	1.020887173
157	1.020851295
158	1.020587096
159	1.020345224
160	1.020306863
161	1.02008182
162	1.019936552
163	1.019732672
164	1.019515523
165	1.019471127
166	1.019315702
167	1.019199826
168	1.019136443
169	1.019064959
170	1.018894147
171	1.018665323
172	1.018601902
173	1.018419886
174	1.018359751
175	1.018185089
176	1.018053822
177	1.018012779
178	1.017969351
179	1.017780656
180	1.017580063
181	1.017497193
182	1.017438152
183	1.01741664
184	1.017349837
185	1.01725691
186	1.0171151
187	1.017085798
188	1.017083266
189	1.017049204
190	1.016904351
191	1.016704259
192	1.016678667
193	1.016459762
194	1.016286926
195	1.016248552
196	1.016228907
197	1.015995026
198	1.015762486
199	1.015682583
200	1.01563635
201	1.015436553
202	1.015406338
203	1.015351722
204	1.015248505
205	1.01510816
206	1.015044491
207	1.014958193
208	1.01492165
209	1.014873878
210	1.014849115
211	1.014635873
212	1.014511139
213	1.014509632
214	1.014340116
215	1.014305091
216	1.014038875
217	1.013996934
218	1.0139749
219	1.013849044
220	1.013800959
221	1.013591423
222	1.013409058
223	1.013333742
224	1.013232063
225	1.013101236
226	1.012834482
227	1.012515582
228	1.012437322
229	1.012380014
230	1.012364058
231	1.012300636
232	1.012025286
233	1.011895034
234	1.011761567
235	1.011624145
236	1.011564331
237	1.011226679
238	1.011164206
239	1.011139485
240	1.011020025
241	1.01075074
242	1.010569282
243	1.0104986
244	1.01049709
245	1.010362825
246	1.010352098
247	1.010141789
248	1.010056376
249	1.009926709
250	1.009781267
251	1.009770732
252	1.009748856
253	1.009537536
254	1.009523308
255	1.009491276
256	1.009475
257	1.009462466
258	1.009394373
259	1.009056291
260	1.008838777
261	1.008777589
262	1.008710706
263	1.008669404
264	1.008557601
265	1.008541034
266	1.008490839
267	1.008359434
268	1.008220694
269	1.007855462
270	1.007743737
271	1.007685639
272	1.007685638
273	1.007675767
274	1.007325262
275	1.007052162
276	1.006952951
277	1.006942335
278	1.006897517
279	1.006895517
280	1.006732283
281	1.006542247
282	1.00650336
283	1.006379826
284	1.006282719
285	1.006203419
286	1.00608869
287	1.005859412
288	1.005688348
289	1.005575313
290	1.005533961
291	1.005271307
292	1.005006594
293	1.004975877
294	1.004709668
295	1.004671132
296	1.004390269
297	1.004292596
298	1.004167927
299	1.003813859
300	1.003796959
301	1.003592766
302	1.003503465
303	1.003460058
304	1.003379888
305	1.00337116
306	1.003305373
307	1.003057723
308	1.002838875
309	1.002802271
310	1.002700229
311	1.002433273
312	1.00222897
313	1.00222696
314	1.002212401
315	1.002176989
316	1.002116776
317	1.002066605
318	1.001961437
319	1.001914207
320	1.001893577
321	1.001877364
322	1.00167662
323	1.001590137
324	1.00134561
325	1.001215287
326	1.001213087
327	1.001085209
328	1.000839853
329	1.000799001
330	1.000757828
331	1.000733475
332	1.000570286
333	1.000474127
334	1.000337182
335	1.000321462
336	1.000287366
337	1.000245047
338	1.000228462
339	1.00010386
340	1.0000647
341	1.000018022
342	0.9999287401
343	0.999790632
344	0.9997269428
345	0.999713563
346	0.9996770181
347	0.99964505
348	0.9995795824
349	0.9995193401
350	0.9993552835
351	0.9992615273
352	0.9990500915
353	0.9990370922
354	0.9988674926
355	0.9988417921
356	0.998796064
357	0.9986118335
358	0.9984172075
359	0.9983226482
360	0.9983091309
361	0.9982441405
362	0.9979726695
363	0.9979361129
364	0.9978808002
365	0.9978275265
366	0.9976887071
367	0.9976380535
368	0.9976241403
369	0.997378103
370	0.9973206537
371	0.9970339958
372	0.9968595966
373	0.9967153961
