iter	Passed	Remaining
0	38	77781
1	70	70084
2	86	57767
3	108	53900
4	129	51760
5	151	50243
6	172	49115
7	195	48785
8	218	48374
9	241	48000
10	262	47475
11	289	47995
12	311	47571
13	333	47270
14	355	46984
15	376	46654
16	392	45755
17	416	45907
18	447	46663
19	469	46441
20	494	46599
21	515	46388
22	526	45261
23	547	45113
24	574	45350
25	595	45188
26	620	45347
27	641	45193
28	662	45059
29	698	45874
30	719	45716
31	745	45840
32	766	45688
33	787	45537
34	808	45398
35	829	45259
36	854	45348
37	870	44956
38	891	44845
39	913	44741
40	935	44689
41	962	44855
42	984	44803
43	1006	44740
44	1032	44853
45	1084	46076
46	1105	45950
47	1127	45834
48	1147	45708
49	1168	45585
50	1196	45706
51	1217	45593
52	1238	45482
53	1274	45946
54	1296	45833
55	1317	45736
56	1352	46110
57	1374	46007
58	1399	46039
59	1431	46277
60	1452	46169
61	1473	46070
62	1510	46443
63	1526	46185
64	1548	46085
65	1574	46125
66	1606	46339
67	1627	46232
68	1653	46287
69	1675	46191
70	1696	46087
71	1717	46000
72	1739	45908
73	1765	45944
74	1786	45847
75	1807	45759
76	1828	45675
77	1860	45841
78	1882	45769
79	1898	45553
80	1919	45471
81	1952	45672
82	1984	45833
83	2000	45629
84	2032	45787
85	2053	45713
86	2080	45740
87	2112	45888
88	2133	45812
89	2157	45797
90	2189	45932
91	2210	45847
92	2247	46089
93	2258	45791
94	2279	45713
95	2313	45883
96	2345	46012
97	2366	45928
98	2387	45849
99	2408	45767
100	2429	45683
101	2450	45606
102	2487	45818
103	2518	45913
104	2550	46031
105	2571	45953
106	2592	45871
107	2630	46076
108	2650	45990
109	2671	45900
110	2692	45813
111	2712	45730
112	2741	45783
113	2773	45883
114	2793	45795
115	2814	45711
116	2836	45646
117	2869	45760
118	2890	45682
119	2916	45689
120	2948	45783
121	2969	45704
122	2989	45625
123	3010	45552
124	3032	45488
125	3058	45492
126	3079	45418
127	3105	45418
128	3137	45508
129	3159	45443
130	3180	45372
131	3200	45294
132	3233	45384
133	3253	45311
134	3278	45293
135	3288	45076
136	3300	44884
137	3322	44834
138	3345	44789
139	3366	44728
140	3387	44666
141	3398	44462
142	3418	44398
143	3435	44280
144	3457	44231
145	3479	44181
146	3514	44304
147	3535	44242
148	3561	44243
149	3583	44197
150	3604	44142
151	3626	44085
152	3642	43974
153	3663	43913
154	3684	43854
155	3700	43737
156	3720	43678
157	3741	43623
158	3762	43566
159	3783	43509
160	3815	43584
161	3831	43469
162	3862	43529
163	3883	43474
164	3909	43476
165	3930	43424
166	3951	43369
167	3973	43325
168	3994	43272
169	4020	43282
170	4052	43346
171	4085	43417
172	4115	43465
173	4146	43514
174	4177	43563
175	4208	43612
176	4228	43555
177	4249	43499
178	4271	43457
179	4293	43409
180	4314	43360
181	4349	43450
182	4372	43413
183	4395	43378
184	4429	43457
185	4450	43402
186	4471	43350
187	4492	43298
188	4523	43341
189	4545	43299
190	4555	43150
191	4577	43108
192	4602	43095
193	4623	43046
194	4644	42993
195	4660	42891
196	4680	42838
197	4701	42785
198	4730	42810
199	4751	42760
200	4772	42711
201	4793	42665
202	4813	42613
203	4834	42560
204	4857	42532
205	4877	42480
206	4898	42430
207	4919	42382
208	4951	42428
209	4983	42475
210	5003	42426
211	5024	42379
212	5046	42338
213	5067	42290
214	5087	42240
215	5110	42208
216	5131	42166
217	5152	42121
218	5173	42074
219	5194	42025
220	5221	42035
221	5242	41988
222	5263	41940
223	5284	41895
224	5305	41851
225	5326	41810
226	5363	41893
227	5394	41929
228	5415	41883
229	5436	41837
230	5457	41793
231	5478	41747
232	5499	41702
233	5520	41659
234	5548	41674
235	5580	41710
236	5601	41669
237	5622	41628
238	5657	41685
239	5682	41673
240	5720	41752
241	5741	41706
242	5767	41702
243	5788	41657
244	5809	41612
245	5829	41566
246	5850	41519
247	5871	41480
248	5893	41443
249	5915	41405
250	5949	41455
251	5970	41413
252	5991	41370
253	6015	41350
254	6036	41307
255	6057	41264
256	6077	41220
257	6098	41176
258	6119	41134
259	6129	41022
260	6150	40979
261	6171	40938
262	6204	40979
263	6235	41003
264	6267	41033
265	6277	40922
266	6298	40878
267	6329	40903
268	6349	40860
269	6370	40819
270	6391	40777
271	6424	40816
272	6445	40774
273	6472	40770
274	6497	40756
275	6518	40713
276	6538	40672
277	6566	40673
278	6587	40632
279	6613	40628
280	6634	40586
281	6655	40545
282	6675	40503
283	6697	40466
284	6719	40431
285	6739	40391
286	6760	40350
287	6781	40312
288	6802	40272
289	6824	40243
290	6845	40204
291	6866	40164
292	6887	40125
293	6908	40087
294	6939	40106
295	6959	40065
296	6980	40026
297	7001	39990
298	7032	40009
299	7053	39971
